Year Won,Category Won,Who Won?,What Show Was It? (Might Be Same as Last)
1964,Best Performance by an Actress in a Featured Role in a Play,Barbara Loden,After the Fall
1964,Best Book of a Musical,Michael Stewart,"Hello, Dolly!"
1964,Best Choreography,Gower Champion,"Hello, Dolly!"
1964,Conductor And Musical Director,Shepard Coleman,"Hello, Dolly!"
1964,Best Costume Design of a Musical,Freddy Wittop,"Hello, Dolly!"
1964,Best Direction of a Musical,Gower Champion,"Hello, Dolly!"
1964,Best Direction of a Play,Mike Nichols,Barefoot in the Park
1964,Best Musical,"Hello, Dolly!","Hello, Dolly!"
1964,Best Original Score,Jerry Herman,"Hello, Dolly!"
1964,Best Play,Luther,Luther
1964,Best Producer of a Musical,David Merrick,"Hello, Dolly!"
1964,Best Producer of a Play,Herman Shumlin,The Deputy
1964,Best Scenic Design of a Musical,Oliver Smith,"Hello, Dolly!"
1965,Best Performance by an Actor in a Leading Role in a Musical,Zero Mostel,Fiddler on the Roof
1965,Best Performance by an Actor in a Leading Role in a Play,Walter Matthau,The Odd Couple
1965,Best Performance by an Actress in a Leading Role in a Musical,Liza Minnelli,"Flora, the Red Menace"
1965,Best Performance by an Actress in a Leading Role in a Play,Irene Worth,Tiny Alice
1965,Best Performance by an Actor in a Featured Role in a Musical,Victor Spinetti,"Oh, What a Lovely War"
1965,Best Performance by an Actor in a Featured Role in a Play,Jack Albertson,The Subject was Roses
1965,Best Performance by an Actress in a Featured Role in a Musical,Maria Karnilova,Fiddler on the Roof
1965,Best Performance by an Actress in a Featured Role in a Play,Alice Ghostley,The Sign in Sidney Brustein's Window
1965,Best Author of a Play,Neil Simon,The Odd Couple
1965,Best Book of a Musical,Joseph Stein,Fiddler on the Roof
1965,Best Choreography,Jerome Robbins,Fiddler on the Roof
1965,Best Costume Design of a Musical,Patricia Zipprodt,Fiddler on the Roof
1965,Best Direction of a Musical,Jerome Robbins,Fiddler on the Roof
1965,Best Direction of a Play,Mike Nichols,Luv/The Odd Couple
1965,Best Musical,Fiddler on the Roof,Fiddler on the Roof
1965,Best Original Score,Jerry Bock,Fiddler on the Roof
1965,Best Original Score,Sheldon Harnick,Fiddler on the Roof
1965,Best Play,The Subject Was Roses,The Subject Was Roses
1965,Best Producer of a Musical,Harold Prince,Fiddler on the Roof
1965,Best Producer of a Play,Claire Nichtern,Luv
1965,Best Scenic Design of a Musical,Oliver Smith,Baker Street
1966,Best Performance by an Actor in a Leading Role in a Musical,Richard Kiley,Man of La Mancha
1966,Best Performance by an Actor in a Leading Role in a Play,Hal Holbrook,Mark Twain Tonight!
1966,Best Performance by an Actress in a Leading Role in a Musical,Angela Lansbury,Mame
1966,Best Performance by an Actress in a Leading Role in a Play,Rosemary Harris,The Lion in Winter
1966,Best Performance by an Actor in a Featured Role in a Musical,Frankie Michaels,Mame
1966,Best Performance by an Actor in a Featured Role in a Play,Patrick Magee,Marat\Sade
1966,Best Performance by an Actress in a Featured Role in a Musical,Beatrice Arthur,Mame
1966,Best Performance by an Actress in a Featured Role in a Play,Zoe Caldwell,Slapstick Tragedy
1966,Best Choreography,Bob Fosse,Sweet Charity
1966,Best Costume Design of a Play,Gunilla Palmstierna,Weiss/Marat\Sade
1966,Best Direction of a Musical,Albert Marre,Man of La Mancha
1966,Best Direction of a Play,Peter Brook,Marat\Sade
1966,Best Musical,Man of La Mancha,Man of La Mancha
1966,Best Original Score,Mitch Leigh,Man of La Mancha
1966,Best Original Score,Joe Darion,Man of La Mancha
1966,Best Play,Marat\Sade,Marat\Sade
1966,Best Scenic Design of a Musical,Howard Bay,Man of La Mancha
1967,Best Performance by an Actor in a Leading Role in a Musical,Robert Preston,I Do! I Do!
1967,Best Performance by an Actor in a Leading Role in a Play,Paul Rogers,The Homecoming
1967,Best Performance by an Actress in a Leading Role in a Musical,Barbara Harris,The Apple Tree
1967,Best Performance by an Actress in a Leading Role in a Play,Beryl Reid,The Killing of Sister George
